2018-02-04 02:03:30,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 11:48:28,"RT @iAnkurMishra: Relationship status: Falling in love with Rahul Dravid, AGAIN.

Congratulation Team India.

#UC19WC #U19WorldCupFinal 
#I…"
2018-02-03 11:45:14,"RT @iAnkurMishra: Relationship status: Falling in love with Rahul Dravid, AGAIN.

Congratulation Team India.

#UC19WC #U19WorldCupFinal 
#I…"
2018-02-03 11:44:05,"Relationship status: Falling in love with Rahul Dravid, AGAIN.

Congratulation Team India.

#UC19WC #U19WorldCupFinal 
#INDvsAUS"
2018-02-03 09:47:39,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 09:19:50,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:59:47,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:49:16,"World cup for #Dravid
Certainly no one deserves it more than him 
#ThaWall
Dravid ❤

#UC19WC"
2018-02-03 08:42:28,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:39:31,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:14:10,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:09:16,"#India are #WorldChampions, for a fourth time. They beat #Australia by eight wickets to lift the #U19WorldCup… https://t.co/UGj37Iy4ZO"
2018-02-03 08:06:44,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:06:25,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:06:10,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:05:18,"Congratulations boys 🍫
Great another day for indian cricket 😚
#FutureStars #UC19WC"
2018-02-03 08:03:08,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:01:36,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 08:00:28,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 07:59:34,"RT @gandabherunda: #UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in the w…"
2018-02-03 07:58:57,"#UC19WC win should settle the matter finally on who's the greatest cricketer India has ever produced,Maybe even in… https://t.co/yYBgljVaTe"
